"Latitude_WGS84";"Name";"AdmArea";"District";"Location";"NumberOfAccessPoints";"WiFiName";"CoverageArea";"FunctionFlag";"AccessFlag";"Password";"Longitude_WGS84";"global_id";"geoData";
"55.769308719";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Новая Басманная улица, дом 4, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.653084847";"276298117";"{type=Point, coordinates=[37.653084847, 55.769308719]}";
"55.769692198";"Городской Wi-Fi";"Центральный административный округ";"Красносельский район";"город Москва, Новая Басманная улица, дом 7";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.654458478";"276298119";"{type=Point, coordinates=[37.654458478, 55.769692198]}";
"55.765216921";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 13, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.659378398";"276298121";"{type=Point, coordinates=[37.659378398, 55.765216921]}";
"55.767529404";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 22";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.666264797";"276298122";"{type=Point, coordinates=[37.666264797, 55.767529404]}";
"55.767096294";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 23/9, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.664446511";"276298123";"{type=Point, coordinates=[37.664446511, 55.767096294]}";
"55.768620654";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 33";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.667454947";"276298124";"{type=Point, coordinates=[37.667454947, 55.768620654]}";
"55.768975817";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 34";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.668718073";"276298125";"{type=Point, coordinates=[37.668718073, 55.768975817]}";
"55.769269653";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Старая Басманная улица, дом 38/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.669297863";"276298126";"{type=Point, coordinates=[37.669297863, 55.769269653]}";
"55.773183423";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67890522";"276298127";"{type=Point, coordinates=[37.67890522, 55.773183423]}";
"55.772561377";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.678719016";"276298128";"{type=Point, coordinates=[37.678719016, 55.772561377]}";
"55.772552394";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 33/2, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67871932";"276298129";"{type=Point, coordinates=[37.67871932, 55.772552394]}";
"55.770899371";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 42";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.6787593";"276298130";"{type=Point, coordinates=[37.6787593, 55.770899371]}";
"55.770882262";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 42";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.678839586";"276298133";"{type=Point, coordinates=[37.678839586, 55.770882262]}";
"55.769931959";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 48/13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.67904708";"276298134";"{type=Point, coordinates=[37.67904708, 55.769931959]}";
"55.769922805";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 48/13";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679031449";"276298135";"{type=Point, coordinates=[37.679031449, 55.769922805]}";
"55.768838443";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 56/17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679307228";"276298136";"{type=Point, coordinates=[37.679307228, 55.768838443]}";
"55.76882946";"Городской Wi-Fi";"Центральный административный округ";"Басманный район";"город Москва, Бауманская улица, дом 56/17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.679307532";"276298137";"{type=Point, coordinates=[37.679307532, 55.76882946]}";
"55.736601047";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 1, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634557171";"276298138";"{type=Point, coordinates=[37.634557171, 55.736601047]}";
"55.736592241";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 1, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.634573405";"276298139";"{type=Point, coordinates=[37.634573405, 55.736592241]}";
"55.734739386";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636039641";"276298140";"{type=Point, coordinates=[37.636039641, 55.734739386]}";
"55.734756998";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636007173";"276298141";"{type=Point, coordinates=[37.636007173, 55.734756998]}";
"55.734806507";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 17, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.63641954";"276298142";"{type=Point, coordinates=[37.63641954, 55.734806507]}";
"55.734184574";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 19, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.636250107";"276298144";"{type=Point, coordinates=[37.636250107, 55.734184574]}";
"55.732203643";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 29";"2";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.637513598";"276298145";"{type=Point, coordinates=[37.637513598, 55.732203643]}";
"55.731829031";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 31/12, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.638577728";"276298146";"{type=Point, coordinates=[37.638577728, 55.731829031]}";
"55.731819872";"Городской Wi-Fi";"Центральный административный округ";"район Замоскворечье";"город Москва, улица Бахрушина, дом 31/12, строение 1";"1";"Moscow_WiFi_Free";"50";"действует";"открытая сеть";"";"37.638562121";"276298148";"{type=Point, coordinates=[37.638562121, 55.731819872]}";
